station_number,statition_nm,Lat,long,station_nm_ko
2614,Dokbawi,37.618456,126.933031,독바위
2615,Yeonsinnae,37.619001,126.921008,연신내
2616,Gusan,37.611377,126.91727,구산
2617,Saejeol,37.591148,126.913629,새절
2618,Jeungsan,37.583876,126.909645,증산
2619,Digital Media City,37.576646,126.900984,디지털미디어시티
2620,World Cup Stadium,37.569532,126.899298,월드컵경기장
2621,Mapo-gu Office,37.563515,126.903343,마포구청
2622,Mangwon,37.556094,126.910052,망원
2623,Hapjeong,37.549463,126.913739,합정
2624,Sangsu,37.547716,126.922852,상수
2625,Gwangheungchang,37.547456,126.931993,광흥창
2626,Daeheung,37.547771,126.942069,대흥
2627,Gongdeok,37.544018,126.951592,공덕
2628,Hyochang park,37.539261,126.961351,효창공원앞
2629,Samgakji,37.534777,126.97311,삼각지
2630,Noksapyeong,37.534675,126.986695,녹사평
2631,Itaewon,37.534488,126.994302,이태원
2632,Hangangjin,37.539631,127.001725,한강진
2633,Beotigogae,37.548013,127.007055,버티고개
2634,Yaksu,37.55434,127.010655,약수
2635,Cheonggu,37.560245,127.013828,청구
2636,Sindang,37.565972,127.01782,신당
2637,Dongmyo,37.572627,127.016429,동묘앞
2638,Changsin,37.579661,127.015241,창신
2639,Bomun,37.585286,127.019381,보문
2640,Anam,37.586272,127.029005,안암
2641,Korea Univ.,37.590508,127.036296,고려대
2642,Wolgok,37.601948,127.041518,월곡
2643,Sangwolgok,37.606377,127.048491,상월곡
2644,Dolgoji,37.610537,127.056431,돌곶이
2645,Seokgye,37.614805,127.065851,석계
2646,Taereung,37.617983,127.07512,태릉입구
2647,Hwarangdae,37.620064,127.084689,화랑대
2648,Bonghwasan,37.617283,127.091401,봉화산
2711,Jangam,37.700109,127.053196,장암
2712,Dobongsan,37.689313,127.046222,도봉산
2713,Suraksan,37.67785,127.055315,수락산
2714,Madeul,37.66494,127.057675,마들
2715,Nowon,37.655128,127.061368,노원
2716,Junggye,37.644583,127.064303,중계
2717,Hagye,37.636352,127.06799,하계
2718,Gongneung,37.625742,127.072896,공릉
2719,Taereung,37.617983,127.07512,태릉입구
2720,Meokgol,37.610637,127.077725,먹골
2721,Junghwa,37.602545,127.079264,중화
2722,Sangbong,37.596362,127.085032,상봉
2723,Myeonmok,37.588579,127.087503,면목
2724,Sagajeong,37.580894,127.088478,사가정
2725,Yongmasan,37.573647,127.086727,용마산
2726,Junggok,37.565923,127.08432,중곡
2727,Gunja,37.557121,127.079542,군자
2728,Children`s  Grand Park,37.548014,127.074658,어린이대공원
2729,Konkuk Univ.,37.540693,127.07023,건대입구
2730,Ttukseom Park,37.53154,127.066704,뚝섬유원지
2731,Cheongdam,37.519365,127.05335,청담
2732,Gangnam-gu Office,37.517186,127.04128,강남구청
2733,Hak-dong,37.514229,127.031656,학동
2734,Nonhyeon,37.511093,127.021415,논현
2735,Banpo,37.508178,127.011727,반포
2736,Express Bus Terminal,37.50481,127.004943,고속터미널
2737,Naebang,37.487618,126.993513,내방
2738,Isu,37.486263,126.981989,이수
2739,Namseong,37.484596,126.971251,남성
2740,Soongsil Univ.,37.496029,126.953822,숭실대입구
2741,Sangdo,37.502834,126.94791,상도
2742,Jangseungbaegi,37.504898,126.93915,장승배기
2743,Sindaebangsamgeori,37.499701,126.928276,신대방삼거리
2744,Boramae,37.499872,126.920428,보라매
2745,Sinpung,37.50008,126.90993,신풍
2746,Daerim,37.49297,126.895801,대림
2747,Namguro,37.486056,126.887249,남구로
2748,Gasan Digital Complex,37.481072,126.882343,가산디지털단지
2749,Cheolsan,37.47605,126.867911,철산
2750,Gwangmyeongsageori,37.479252,126.854876,광명사거리
2751,Cheonwang,37.486637,126.838713,천왕
2752,Onsu,37.492258,126.823388,온수
2753,Kkachiul,37.506207,126.810939,까치울
2754,Bucheon Stadium,37.50538,126.797337,부천종합운동장
2755,Chunui,37.503663,126.787036,춘의
2756,Sinjung-dong,37.503048,126.77596,신중동
2757,Bucheon City Hall,37.504631,126.763538,부천시청
2758,Sang-dong,37.505781,126.753083,상동
2759,Samsan Gymnasium,37.506411,126.742153,삼산체육관
2760,Gulpocheon,37.506997,126.73128,굴포천
2761,Bupyeong-gu Office,37.508336,126.720548,부평구청
2811,Amsa,37.55021,127.127562,암사
2812,Cheonho,37.538397,127.123572,천호
2813,Gangdong-gu Office,37.530341,127.120508,강동구청
2814,Mongchontoseong,37.517409,127.112359,몽촌토성
2815,Jamsil,37.51395,127.102234,잠실
2816,Seokchon,37.505431,127.106979,석촌
2817,Songpa,37.499703,127.112183,송파
2818,Garak Market,37.492522,127.118234,가락시장
2819,Munjeong,37.485855,127.1225,문정
2820,Jangji,37.478703,127.126191,장지
2821,Bokjeong,37.470047,127.126662,복정
2822,Sanseong,37.457122,127.149908,산성
2823,Namhansanseong,37.451535,127.159816,남한산성입구
2824,Dandaeogeori,37.44521,127.156866,단대오거리
2825,Sinheung,37.440918,127.147564,신흥
2826,Sujin,37.437428,127.140722,수진
2827,Moran,37.43213,127.129087,모란
3110,Gyeyang,37.571462,126.735637,계양
3111,Gyulhyeon,37.566379,126.742654,귤현
3112,Bakchon,37.553703,126.745077,박촌
3113,Imhak,37.545059,126.738665,임학
3114,Gyesan,37.543238,126.728128,계산
3115,Gyeong-in Nat`l Univ. of Education,37.538157,126.722597,경인교대입구
3116,Jakjeon,37.530415,126.722527,작전
3117,Galsan,37.517268,126.721514,갈산
3118,Bupyeong-gu Office,37.508336,126.720548,부평구청
3119,Bupyeong Market,37.498383,126.722244,부평시장
3120,Bupyeong,37.489493,126.724805,부평
3121,Dongsu,37.485312,126.718247,동수
3122,Bupyeongsamgeori,37.477679,126.710208,부평삼거리
3123,Ganseogogeori,37.467048,126.707938,간석오거리
3124,Incheon City Hall,37.457405,126.702221,인천시청
3125,Arts Center,37.449396,126.701012,예술회관
3126,Incheon Bus Terminal,37.442383,126.699706,인천터미널
3127,Munhak Sports Complex,37.434935,126.698579,문학경기장
3128,Seonhak,37.426684,126.698863,선학
3129,Sinyeonsu,37.41804,126.693863,신연수
3130,Woninjae,37.412603,126.687389,원인재
3131,Dongchun,37.404737,126.681015,동춘
3132,Dongmak,37.397878,126.674005,동막
3133,Campus Town,37.387855,126.661673,캠퍼스타운
3134,Technopark,37.382268,126.656365,테크노파크
3135,BIT Zone,37.378384,126.645168,지식정보단지
3136,Incheon Nat'l Univ.,37.386007,126.639484,인천대입구
3137,Central Park,37.393054,126.634729,센트럴파크
