line,Station_nm,IN_AM,OUT_AM,INOUT_R_AM,IN_LUNCH,OUT_LUNCH,INOUT_R_LUNCH,IN_DINNER,OUT_DINNER,INOUT_R_DINNER,OUT_AM_IN_DINNER_RATIO,IN_AM_OUT_DINNER_RATIO,INOUT_R_NIGHT,OUT_DINNER_IN_NIGHT_RATIO,IN_NIGHT,OUT_NIGHT,06-07 IN,06-07 OUT,07-08 IN,07-08 OUT,08-09 IN,08-09 OUT,09-10 IN,09-10 OUT,11-12 IN,11-12 OUT,12-13 IN,12-13 OUT,13-14 IN,13-14 OUT,16-17 IN,16-17 OUT,17-18 IN,17-18 OUT,18-19 IN,18-19 OUT,19-20 IN,19-20 OUT,20-21 IN,20-21 OUT,21-22 IN,21-22 OUT,22-23 IN,22-23 OUT,23-24 IN,23-24 OUT,00-01 IN,00-01 OUT
2호선,사당,328948,260392,126.3279978,186331,185532,100.4306535,367534,555589,66.15213764,70.8484113,59.20707573,93.04006131,242.15635,229434,246597,30459,38588,87938,62510,121696,89455,88855,69839,53572,61988,62916,60644,69843,62900,73897,92402,90614,125629,115318,190198,84872,150081,76730,89681,85680,85618,84141,87416,50264,55892,9349,17671
2호선,강변(동서울터미널),413853,210421,196.6785635,249138,190627,130.693973,344643,498775,69.09788983,61.05477262,82.97388602,61.38492465,386.1444011,129168,210423,34325,36772,106432,42194,154980,68325,118116,63130,85154,55476,83024,61854,80960,73297,80064,104216,89478,118065,102978,161614,84041,128457,68146,90639,65642,81876,42999,75910,18086,41088,2441,11549
2호선,구의(광진구청),319108,101549,314.240416,108201,77542,139.5385726,142031,283891,50.03011719,71.49777161,112.4051132,36.48076884,531.9199565,53371,146299,30065,11313,78932,17595,132672,44297,77439,28344,35280,22532,36216,25568,36705,29442,35315,44128,40378,59688,49925,94425,28917,77688,22811,52090,21792,52698,18418,50992,11315,31335,1846,11274
2호선,충정로(경기대입구),74263,138173,53.74639039,48694,44194,110.1823777,121881,79563,153.1880397,113.3671368,93.33861217,65.22411853,285.9715333,27822,42656,8225,7830,19535,20983,27879,73288,18624,36072,15420,14026,16188,13497,17086,16671,21236,16474,27202,19683,59490,26003,21341,20217,13848,13660,13109,14485,9654,14601,4350,10227,709,3343
2호선,방배,120947,209324,57.77980547,89357,102519,87.16140423,226198,154696,146.2209753,92.54016393,78.18366344,104.4366665,204.9197918,75491,72284,11888,14901,31128,33536,43334,90047,34597,70840,26594,33850,29743,34706,33020,33963,50112,33479,61213,39920,89923,50334,43202,39027,31860,25415,32752,24301,27995,26986,12017,15523,2727,5474
2호선,신림,938330,208429,450.191672,320878,210423,152.4918854,378568,892912,42.39701113,55.05721561,105.0865035,33.00595615,535.6786331,166688,505024,91022,26260,253998,43512,366147,74124,227163,64533,104736,62430,108859,68364,107283,79629,99724,122790,108646,166587,117012,275782,82692,276070,70218,174473,65014,171213,60808,175893,34555,117456,6311,40462
2호선,한양대,28607,182101,15.70941401,53772,90938,59.13039653,154997,67433,229.8533359,117.4867901,42.42284935,256.4249851,111.8941342,60265,23502,2910,7299,6655,17976,10374,78905,8668,77921,13087,23762,20189,38088,20496,29088,49094,15220,60994,18792,46500,26006,24910,14275,22593,8360,28041,8332,19453,7727,10364,5370,2407,2073
2호선,이대,78881,175478,44.95207376,107453,151067,71.12936644,233289,152980,152.4964048,75.21914878,51.56294941,137.6449353,170.0080014,89984,65374,7714,15943,19731,23464,29548,53548,21888,82523,24864,46372,38977,53304,43612,51391,63972,39435,78894,42477,67702,50967,46643,36923,40050,22613,45068,20870,31813,21331,11727,17268,1376,5905
2호선,선릉,123657,719139,17.19514586,200499,211894,94.62231116,752239,214416,350.8315611,95.59980272,57.67153571,328.0284936,91.83838678,233471,71174,13566,43589,26503,118717,42332,321238,41256,235595,56465,71853,65790,65073,78244,74968,144643,56203,172751,64677,312459,70316,163933,50056,103096,29367,103370,25924,89658,23805,34870,14505,5573,6940
2호선,신당,127246,104247,122.0620258,74015,70628,104.7955485,127259,150135,84.76304659,81.9171925,84.75438772,61.51656125,358.1635574,41918,68141,13305,9856,31404,19968,50124,45297,32413,29126,22432,22269,25030,23033,26553,25326,30551,30752,34722,37207,42667,49122,28763,38698,21107,25108,18751,23439,14148,23461,7729,15525,1290,5716
